"id";"sn";"fn";"ln";"no";"ps";"nt";"db";"ag";"ht";"ap";"go";"ci";"cb";"cn"
"66";"250059115";"Bernardo Silva";"";"Bernardo Silva";"15";"3";"POR";1994-08-10;"20";NA;"1";"0";"50023";"Monaco";"FRA"
"67";"250067821";"Caillard";"Marc-Aurèle";"Caillard";"40";"1";"FRA";1994-05-12;"20";NA;"0";"0";"50023";"Monaco";"FRA"
"68";"31429";"Carvalho";"Ricardo";"Carvalho";"6";"2";"POR";1978-05-18;"36";"183";"2";"0";"50023";"Monaco";"FRA"
"69";"250054952";"Diallo";"Abdou";"Diallo";"34";"2";"FRA";1996-05-04;"18";NA;"0";"0";"50023";"Monaco";"FRA"
"70";"250003453";"Dirar";"Nabil";"Dirar";"7";"3";"MAR";1986-02-25;"28";"182";"2";"0";"50023";"Monaco";"FRA"
"71";"250000676";"Elderson";"";"Elderson";"21";"2";"NGA";1988-01-20;"26";"189";"0";"0";"50023";"Monaco";"FRA"
"72";"250053907";"Fabinho";"";"Fabinho";"2";"2";"BRA";1993-10-23;"20";NA;"2";"0";"50023";"Monaco";"FRA"
"73";"250040959";"Ferreira-Carrasco";"Yannick";"Ferreira-Carrasco";"17";"4";"BEL";1993-09-04;"21";NA;"2";"0";"50023";"Monaco";"FRA"
"74";"250040568";"Germain";"Valère";"Germain";"18";"4";"FRA";1990-04-17;"24";NA;"1";"0";"50023";"Monaco";"FRA"
"75";"70098";"João Moutinho";"";"João Moutinho";"8";"3";"POR";1986-09-08;"28";"170";"2";"1";"50023";"Monaco";"FRA"
"76";"250077578";"Kamara";"Aboubakar";"Kamara";"27";"4";"FRA";1995-03-07;"19";NA;"0";"0";"50023";"Monaco";"FRA"
"77";"250014009";"Kondogbia";"Geoffrey";"Kondogbia";"22";"3";"FRA";1993-02-15;"21";NA;"2";"0";"50023";"Monaco";"FRA"
"78";"250024288";"Kurzawa";"Layvin";"Kurzawa";"3";"2";"FRA";1992-09-04;"22";NA;"2";"0";"50023";"Monaco";"FRA"
"79";"250059146";"López";"Borja";"López";"20";"2";"ESP";1994-02-02;"20";NA;"0";"0";"50023";"Monaco";"FRA"
"80";"250042781";"Martial";"Anthony";"Martial";"23";"4";"FRA";1995-12-05;"18";NA;"0";"0";"50023";"Monaco";"FRA"
"81";"250067936";"Ocampos";"Lucas";"Ocampos";"11";"4";"ARG";1994-07-11;"20";NA;"2";"0";"50023";"Monaco";"FRA"
"82";"1902467";"Raggi";"Andrea";"Raggi";"24";"2";"ITA";1984-06-24;"30";NA;"2";"0";"50023";"Monaco";"FRA"
"83";"106230";"Subašić";"Danijel";"Subašić";"1";"1";"CRO";1984-10-27;"29";"191";"2";"0";"50023";"Monaco";"FRA"
"84";"250075813";"Sy";"Seydou";"Sy";"30";"1";"SEN";1995-12-12;"18";NA;"0";"0";"50023";"Monaco";"FRA"
"85";"250075827";"Thiam";"Abdou Aziz";"Thiam";"37";"3";"FRA";1997-01-15;"17";NA;"0";"0";"50023";"Monaco";"FRA"
"86";"62127";"Toulalan";"Jérémy";"Toulalan";"28";"3";"FRA";1983-09-10;"31";"184";"2";"0";"50023";"Monaco";"FRA"
"87";"250075828";"Tourè";"Almamy";"Tourè";"38";"2";"MLI";1996-04-28;"18";NA;"0";"0";"50023";"Monaco";"FRA"
"88";"250011730";"Traoré";"Lacina";"Traoré";"19";"4";"CIV";1990-08-20;"24";"203";"0";"0";"50023";"Monaco";"FRA"
"89";"250075811";"Wallace";"";"Wallace";"13";"2";"BRA";1994-10-14;"19";NA;"1";"0";"50023";"Monaco";"FRA"
"90";"1906540";"Alaba";"David";"Alaba";"27";"2";"AUT";1992-06-24;"22";"175";"2";"0";"50037";"Bayern";"GER"
"91";"54091";"Xabi Alonso";"Xabi";"Alonso";"3";"3";"ESP";1981-11-25;"32";"183";"2";"0";"50037";"Bayern";"GER"
"92";"250000142";"Badstuber";"Holger";"Badstuber";"28";"2";"GER";1989-03-13;"25";"189";"0";"0";"50037";"Bayern";"GER"
"93";"250075724";"Benatia";"Mehdi";"Benatia";"5";"2";"MAR";1987-04-17;"27";NA;"2";"0";"50037";"Bayern";"GER"
"94";"250013892";"Bernat";"Juan";"Bernat";"18";"2";"ESP";1993-03-01;"21";NA;"2";"0";"50037";"Bayern";"GER"
"95";"98865";"Boateng";"Jérôme";"Boateng";"17";"2";"GER";1988-09-03;"26";"190";"1";"1";"50037";"Bayern";"GER"
"96";"93921";"Dante";"";"Dante";"4";"2";"BRA";1983-10-18;"30";"188";"2";"0";"50037";"Bayern";"GER"
"97";"150182145";"Gaudino";"Gianluca";"Gaudino";"16";"3";"GER";1996-11-11;"17";NA;"0";"0";"50037";"Bayern";"GER"
"98";"250007605";"Götze";"Mario";"Götze";"19";"3";"GER";1992-06-03;"22";"185";"2";"0";"50037";"Bayern";"GER"
"99";"250026986";"Højbjerg";"Pierre";"Højbjerg";"34";"3";"DEN";1995-08-05;"19";"187";"0";"0";"50037";"Bayern";"GER"
"100";"98953";"Javi Martínez";"";"Javi Martínez";"8";"3";"ESP";1988-09-02;"26";"190";"0";"0";"50037";"Bayern";"GER"
"101";"250055658";"Kurt";"Sinan";"Kurt";"24";"4";"GER";1996-07-23;"18";NA;"0";"0";"50037";"Bayern";"GER"
"102";"63033";"Lahm";"Philipp";"Lahm";"21";"2";"GER";1983-11-11;"30";"170";"2";"0";"50037";"Bayern";"GER"
"103";"250002096";"R. Lewandowski";"Robert";"Lewandowski";"9";"4";"POL";1988-08-21;"26";"184";"2";"0";"50037";"Bayern";"GER"
"104";"250003318";"T. Müller";"Thomas";"Müller";"25";"4";"GER";1989-09-13;"25";"186";"2";"1";"50037";"Bayern";"GER"
"105";"97923";"Neuer";"Manuel";"Neuer";"1";"1";"GER";1986-03-27;"28";"193";"2";"0";"50037";"Bayern";"GER"
"106";"51675";"Pizarro";"Claudio";"Pizarro";"14";"4";"PER";1978-10-03;"35";"186";"2";"0";"50037";"Bayern";"GER"
"107";"101594";"Rafinha";"";"Rafinha";"13";"2";"BRA";1985-09-07;"29";"172";"2";"0";"50037";"Bayern";"GER"
"108";"48716";"Reina";"Pepe";"Reina";"23";"1";"ESP";1982-08-31;"32";"188";"0";"0";"50037";"Bayern";"GER"
"109";"95665";"Ribéry";"Franck";"Ribéry";"7";"3";"FRA";1983-04-07;"31";"170";"0";"0";"50037";"Bayern";"GER"
"110";"57134";"Robben";"Arjen";"Robben";"10";"4";"NED";1984-01-23;"30";"181";"2";"0";"50037";"Bayern";"GER"
"111";"250008351";"Rode";"Sebastian";"Rode";"20";"3";"GER";1990-10-11;"23";NA;"0";"0";"50037";"Bayern";"GER"
"112";"250064010";"Sallahi";"Ylli";"Sallahi";"38";"2";"AUT";1994-04-06;"20";NA;"0";"0";"50037";"Bayern";"GER"
"113";"150182156";"Scholl";"Lucas-Julian";"Scholl";"15";"3";"GER";1996-07-05;"18";NA;"0";"0";"50037";"Bayern";"GER"
"114";"67496";"Schweinsteiger";"Bastian";"Schweinsteiger";"31";"3";"GER";1984-08-01;"30";"183";"0";"0";"50037";"Bayern";"GER"
"115";"1905360";"Shaqiri";"Xherdan";"Shaqiri";"11";"3";"SUI";1991-10-10;"22";"169";"1";"0";"50037";"Bayern";"GER"
"116";"43126";"Starke";"Tom";"Starke";"22";"1";"GER";1981-03-18;"33";"194";"0";"0";"50037";"Bayern";"GER"
"117";"1906776";"Thiago Alcántara";"";"Thiago Alcántara";"6";"3";"ESP";1991-04-11;"23";"170";"0";"0";"50037";"Bayern";"GER"
"118";"250024055";"Weihrauch";"Patrick";"Weihrauch";"36";"4";"GER";1994-03-03;"20";NA;"0";"0";"50037";"Bayern";"GER"
"119";"250023992";"Weiser";"Mitchell";"Weiser";"30";"3";"GER";1994-04-21;"20";"176";"0";"0";"50037";"Bayern";"GER"
"120";"250054306";"Zingerle";"Leopold";"Zingerle";"29";"1";"GER";1994-04-10;"20";NA;"0";"0";"50037";"Bayern";"GER"
"121";"250075736";"Abner";"";"Abner";"30";"2";"BRA";1996-05-30;"18";NA;"0";"0";"50051";"Real Madrid";"ESP"
"122";"58676";"Arbeloa";"Álvaro";"Arbeloa";"17";"2";"ESP";1983-01-17;"31";"180";"1";"0";"50051";"Real Madrid";"ESP"
"123";"102225";"Bale";"Gareth";"Bale";"11";"3";"WAL";1989-07-16;"25";"186";"2";"1";"50051";"Real Madrid";"ESP"
"124";"93321";"Benzema";"Karim";"Benzema";"9";"4";"FRA";1987-12-19;"26";"183";"2";"2";"50051";"Real Madrid";"ESP"
"125";"250024448";"Carvajal";"Dani";"Carvajal";"15";"2";"ESP";1992-01-11;"22";"171";"0";"0";"50051";"Real Madrid";"ESP"
"126";"34694";"Casillas";"Iker";"Casillas";"1";"1";"ESP";1981-05-20;"33";"185";"2";"0";"50051";"Real Madrid";"ESP"
"127";"107951";"Fábio Coentrão";"Fábio";"Coentrão";"5";"2";"POR";1988-03-11;"26";"179";"0";"0";"50051";"Real Madrid";"ESP"
"128";"250017851";"Hernández";"Javier";"Hernández";"14";"4";"MEX";1988-06-01;"26";"175";"2";"0";"50051";"Real Madrid";"ESP"
"129";"1901755";"Illarramendi";"Asier";"Illarramendi";"24";"3";"ESP";1990-03-08;"24";"179";"2";"0";"50051";"Real Madrid";"ESP"
"130";"250024454";"Isco";"";"Isco";"23";"3";"ESP";1992-04-21;"22";"175";"1";"0";"50051";"Real Madrid";"ESP"
"131";"250021636";"James Rodríguez";"";"James Rodríguez";"10";"3";"COL";1991-07-12;"23";"180";"2";"1";"50051";"Real Madrid";"ESP"
"132";"250016661";"Jesé";"";"Jesé";"20";"4";"ESP";1993-02-26;"21";"178";"0";"0";"50051";"Real Madrid";"ESP"
"133";"74327";"Khedira";"Sami";"Khedira";"6";"3";"GER";1987-04-04;"27";"189";"0";"0";"50051";"Real Madrid";"ESP"
"134";"103147";"Kroos";"Toni";"Kroos";"8";"3";"GER";1990-01-04;"24";"180";"2";"0";"50051";"Real Madrid";"ESP"
"135";"1900737";"Marcelo";"";"Marcelo";"12";"2";"BRA";1988-05-12;"26";"174";"2";"0";"50051";"Real Madrid";"ESP"
"136";"250052872";"Markkanen";"Eero";"Markkanen";"29";"4";"FIN";1991-07-03;"23";NA;"0";"0";"50051";"Real Madrid";"ESP"
"137";"250059144";"Medrán";"Álvaro";"Medrán";"26";"3";"ESP";1994-03-15;"20";NA;"0";"0";"50051";"Real Madrid";"ESP"
"138";"74699";"Modrić";"Luka";"Modrić";"19";"3";"CRO";1985-09-09;"29";"171";"2";"0";"50051";"Real Madrid";"ESP"
"139";"1900122";"Nacho";"";"Nacho";"18";"2";"ESP";1990-01-18;"24";"178";"1";"0";"50051";"Real Madrid";"ESP"
"140";"250031037";"Navas";"Keylor";"Navas";"13";"1";"CRC";1986-12-15;"27";"184";"0";"0";"50051";"Real Madrid";"ESP"
"141";"250026050";"Pacheco";"Fernando";"Pacheco";"25";"1";"ESP";1992-05-18;"22";NA;"0";"0";"50051";"Real Madrid";"ESP"
"142";"95417";"Pepe";"";"Pepe";"3";"2";"POR";1983-02-26;"31";"187";"1";"0";"50051";"Real Madrid";"ESP"
"143";"93649";"Ramos";"Sergio";"Ramos";"4";"2";"ESP";1986-03-30;"28";"183";"2";"0";"50051";"Real Madrid";"ESP"
"144";"63706";"Ronaldo";"Cristiano";"Ronaldo";"7";"4";"POR";1985-02-05;"29";"184";"2";"2";"50051";"Real Madrid";"ESP"
"145";"250047089";"Sánchez";"Jaime";"Sánchez";"31";"2";"ESP";1995-03-11;"19";NA;"0";"0";"50051";"Real Madrid";"ESP"
"146";"250025891";"Varane";"Raphaël";"Varane";"2";"2";"FRA";1993-04-25;"21";"191";"2";"0";"50051";"Real Madrid";"ESP"
"147";"250075737";"Varela";"Guillermo";"Varela";"28";"2";"URU";1993-03-24;"21";NA;"0";"0";"50051";"Real Madrid";"ESP"
"148";"250017920";"Aboubakar";"Vincent";"Aboubakar";"99";"4";"CMR";1992-01-22;"22";NA;"2";"1";"50064";"Porto";"POR"
"149";"1902640";"Adrián López";"";"Adrián López";"18";"4";"ESP";1988-01-08;"26";"180";"2";"1";"50064";"Porto";"POR"
"150";"250063923";"Agu";"Mikel";"Agu";"46";"3";"NGA";1993-05-27;"21";NA;"0";"0";"50064";"Porto";"POR"
"151";"250039930";"Alex Sandro";"";"Alex Sandro";"26";"2";"BRA";1991-01-26;"23";"179";"4";"0";"50064";"Porto";"POR"
"152";"250074465";"Andrés Fernández";"";"Andrés Fernández";"25";"1";"ESP";1986-12-16;"27";NA;"0";"0";"50064";"Porto";"POR"
"153";"250063924";"Bruno Costa";"";"Bruno Costa";"90";"4";"POR";1997-04-19;"17";NA;"0";"0";"50064";"Porto";"POR"
"154";"250063927";"Caio";"André";"Caio";"51";"1";"POR";1994-02-23;"20";NA;"0";"0";"50064";"Porto";"POR"
"155";"250057680";"Casemiro";"";"Casemiro";"6";"3";"BRA";1992-02-23;"22";"184";"3";"0";"50064";"Porto";"POR"
"156";"250055278";"Clever";"";"Clever";"76";"3";"POR";1996-02-03;"18";NA;"0";"0";"50064";"Porto";"POR"
"157";"250039931";"Danilo";"";"Danilo";"2";"2";"BRA";1991-07-15;"23";"184";"4";"0";"50064";"Porto";"POR"
"158";"250011929";"David Bruno";"";"David Carneiro";"42";"2";"POR";1992-02-14;"22";"176";"0";"0";"50064";"Porto";"POR"
"159";"250055272";"Diogo Verdasca";"";"Diogo Verdasca";"73";"2";"POR";1996-10-26;"17";NA;"0";"0";"50064";"Porto";"POR"
"160";"250029855";"Evandro";"";"Evandro";"15";"3";"ITA";1986-08-23;"28";NA;"3";"0";"50064";"Porto";"POR"
"161";"250052988";"Fabiano";"";"Fabiano";"12";"1";"BRA";1988-02-29;"26";"197";"4";"0";"50064";"Porto";"POR"
"162";"250003327";"Fernando";"";"Fernando";"6";"3";"BRA";1987-07-25;"27";"185";"0";"0";"50064";"Porto";"POR"
"163";"250024753";"Frédéric Maciel";"";"Frédéric Maciel";"67";"4";"POR";1994-03-15;"20";NA;"0";"0";"50064";"Porto";"POR"
"164";"250024754";"Gonçalo Paciência";"";"Gonçalo Paciência";"39";"4";"POR";1994-08-01;"20";"184";"0";"0";"50064";"Porto";"POR"
"165";"250060117";"Herrera";"Hector";"Herrera";"16";"3";"MEX";1990-04-19;"24";"183";"4";"1";"50064";"Porto";"POR"
"166";"250039164";"Iturbe";"Juan Manuel";"Iturbe";"7";"4";"PAR";1993-06-04;"21";"169";"2";"1";"50064";"Porto";"POR"
"167";"250040614";"João Costa";"";"João Costa";"61";"1";"POR";1996-02-02;"18";"185";"0";"0";"50064";"Porto";"POR"
"168";"250040532";"Kadu";"";"Kadu";"41";"1";"ANG";1994-11-30;"19";"190";"0";"0";"50064";"Porto";"POR"
"169";"250039165";"Kelvin";"";"Kelvin";"28";"4";"BRA";1993-06-01;"21";"175";"0";"0";"50064";"Porto";"POR"
"170";"250024743";"Leandro Silva";"";"Leandro Silva";"78";"3";"POR";1994-05-04;"20";NA;"0";"0";"50064";"Porto";"POR"
"171";"250057871";"Luís Mata";"";"Luís Mata";"70";"4";"POR";1997-07-06;"17";NA;"0";"0";"50064";"Porto";"POR"
"172";"250007919";"Maicon";"";"Maicon";"4";"2";"BRA";1988-09-14;"26";"190";"4";"0";"50064";"Porto";"POR"
"173";"250003525";"Marcano";"Iván";"Marcano";"5";"2";"ESP";1987-06-23;"27";"189";"1";"0";"50064";"Porto";"POR"
"174";"250052989";"Martínez";"Jackson";"Martínez";"9";"4";"COL";1986-10-03;"27";"184";"4";"4";"50064";"Porto";"POR"
"175";"250017880";"Martins Indi";"Bruno";"Martins Indi";"3";"2";"NED";1992-02-08;"22";NA;"4";"0";"50064";"Porto";"POR"
"176";"250050353";"Óliver Torres";"";"Óliver Torres";"30";"3";"ESP";1994-11-10;"19";"178";"3";"0";"50064";"Porto";"POR"
"177";"53749";"Quaresma";"Ricardo";"Quaresma";"7";"4";"POR";1983-09-26;"31";"175";"2";"0";"50064";"Porto";"POR"
"178";"250063638";"Quintero";"Juan";"Quintero";"10";"4";"COL";1993-01-18;"21";"169";"1";"0";"50064";"Porto";"POR"
"179";"250064013";"Ricardo";"";"Ricardo";"21";"4";"POR";1993-10-06;"20";"175";"1";"0";"50064";"Porto";"POR"
"180";"250034489";"Ricardo";"";"Ricardo";"24";"1";"POR";1982-07-06;"32";"190";"0";"0";"50064";"Porto";"POR"
"181";"250057870";"Ruben Macedo";"";"Ruben Macedo";"88";"4";"POR";1996-03-09;"18";NA;"0";"0";"50064";"Porto";"POR"
"182";"250055271";"Rúben Neves";"";"Rúben Neves";"36";"3";"POR";1997-03-13;"17";NA;"2";"0";"50064";"Porto";"POR"
"183";"250055268";"Rui Moreira";"";"Rui Moreira";"66";"3";"POR";1996-05-31;"18";NA;"0";"0";"50064";"Porto";"POR"
"184";"250064521";"Rui Silva";"";"Rui Silva";"95";"2";"POR";1996-06-05;"18";NA;"0";"0";"50064";"Porto";"POR"
"185";"250055277";"Sérgio Ribeiro";"";"Sérgio Ribeiro";"79";"4";"POR";1996-01-18;"18";NA;"0";"0";"50064";"Porto";"POR"
"186";"250017465";"Tello";"Cristian";"Tello";"11";"4";"ESP";1991-08-11;"23";"178";"3";"0";"50064";"Porto";"POR"
"187";"250067802";"Alex Telles";"";"Alex Telles";"13";"2";"BRA";1992-12-15;"21";"181";"2";"0";"50067";"Galatasaray";"TUR"
"188";"97856";"Aydın  Yılmaz";"";"Aydın Yılmaz";"7";"3";"TUR";1988-01-29;"26";"176";"0";"0";"50067";"Galatasaray";"TUR"
"189";"250014115";"Bruma";"";"Bruma";"11";"3";"POR";1994-10-24;"19";"173";"2";"0";"50067";"Galatasaray";"TUR"
"190";"62309";"Burak Yılmaz";"";"Burak Yılmaz";"17";"4";"TUR";1985-07-15;"29";"183";"2";"2";"50067";"Galatasaray";"TUR"
"191";"1900724";"Chedjou";"Aurélien";"Chedjou";"21";"2";"CMR";1985-06-20;"29";"184";"2";"0";"50067";"Galatasaray";"TUR"
